Trading name,Latitude,Longitude,CLUE small area,Building address
Speck Cafe,-37.81355497,144.959763729,Melbourne (CBD),221-231 Queen Street MELBOURNE 3000
Epresso Cafe,-37.81355497,144.959763729,Melbourne (CBD),221-231 Queen Street MELBOURNE 3000
Cafe Max,-37.81339624,144.961271745,Melbourne (CBD),54-58 Hardware Lane MELBOURNE 3000
Cafe Max,-37.81339624,144.961271745,Melbourne (CBD),54-58 Hardware Lane MELBOURNE 3000
Basekamp Cafe,-37.81359935,144.961082978,Melbourne (CBD),386-392 Little Bourke Street MELBOURNE 3000
Pacific BBQ Cafe,-37.8114438,144.966152161,Melbourne (CBD),213-215 Lonsdale Street MELBOURNE 3000
Post Deng Cafe,-37.81204552,144.966227591,Melbourne (CBD),214-216 Little Bourke Street MELBOURNE 3000
Kun Ming Cafe,-37.81203618,144.966288572,Melbourne (CBD),212 Little Bourke Street MELBOURNE 3000
Hawker's Cafe,-37.81156301,144.967245886,Melbourne (CBD),213-217 Russell Street MELBOURNE 3000
Cafe 201,-37.81012834,144.972068819,Melbourne (CBD),199-207 Spring Street MELBOURNE 3000
Cafe 201,-37.81012834,144.972068819,Melbourne (CBD),199-207 Spring Street MELBOURNE 3000
The King Indian Cafe,-37.81384941,144.954289613,Melbourne (CBD),273 King Street MELBOURNE 3000
Petty Sessions Cafe,-37.81318044,144.95670737,Melbourne (CBD),247-257 William Street MELBOURNE 3000
Flagstaff Cafe,-37.81347798,144.956026441,Melbourne (CBD),535 Little Lonsdale Street MELBOURNE 3000
Legals Cafe Restaurant and Bar,-37.81298225,144.958623229,Melbourne (CBD),452-456 Lonsdale Street MELBOURNE 3000
Legals Cafe Restaurant and Bar,-37.81298225,144.958623229,Melbourne (CBD),452-456 Lonsdale Street MELBOURNE 3000
Vora Cafe,-37.81194892,144.960712674,Melbourne (CBD),116-122 Hardware Street MELBOURNE 3000
The Wedge Cafe,-37.81065936,144.965712827,Melbourne (CBD),221 Little Lonsdale Street MELBOURNE 3000
The J Walk Cafe,-37.81012788,144.967583456,Melbourne (CBD),150 Lonsdale Street MELBOURNE 3000
Cafe Sonnex,-37.81261651,144.954284029,Melbourne (CBD),324-326 King Street MELBOURNE 3000
Cafe  Leventi,-37.81275305,144.954960915,Melbourne (CBD),479-495 La Trobe Street MELBOURNE 3000
Cii Cafe Bar,-37.8129915,144.955513379,Melbourne (CBD),470-472 Little Lonsdale Street MELBOURNE 3000
Kentro Cafe & Bar,-37.81270923,144.956456869,Melbourne (CBD),269-275 William Street MELBOURNE 3000
York Cafe,-37.81181302,144.959684286,Melbourne (CBD),330-344 Little Lonsdale Street MELBOURNE 3000
Cafe ERA,-37.81073468,144.963028388,Melbourne (CBD),183-265 La Trobe Street MELBOURNE 3000
Mee Too Cafe & Bar,-37.81073468,144.963028388,Melbourne (CBD),183-265 La Trobe Street MELBOURNE 3000
La Stradda Cafe,-37.81146407,144.956698044,Melbourne (CBD),324-328 William Street MELBOURNE 3000
The Basement Cafe,-37.81068114,144.959287049,Melbourne (CBD),348-358 La Trobe Street MELBOURNE 3000
Spicey Noodle Cafe,-37.80953359,144.963219414,Melbourne (CBD),200-202 La Trobe Street MELBOURNE 3000
Inck Cafe,-37.80904421,144.963226465,Melbourne (CBD),401-405 Swanston Street MELBOURNE 3000
Druids Cafe,-37.80895731,144.963189112,Melbourne (CBD),407-409 Swanston Street MELBOURNE 3000
Bill's Cafe,-37.81189241,144.951185027,West Melbourne (Residential),362-364 Spencer Street WEST MELBOURNE 3003
G & J Cafe Deli Take Away Food,-37.8098814,144.958002795,Melbourne (CBD),365-371 Queen Street MELBOURNE 3000
Cafe Bakpak,-37.80896134,144.959162971,Melbourne (CBD),167-175 Franklin Street MELBOURNE 3000
The Garden Cafe,-37.80863029,144.961016453,Melbourne (CBD),422-440 Elizabeth Street MELBOURNE 3000
Cafe XMS,-37.80817062,144.961772234,Melbourne (CBD),83-93 Franklin Street MELBOURNE 3000
Cafe Mimo,-37.80779494,144.962680282,Melbourne (CBD),459-469 Swanston Street MELBOURNE 3000
Market Lane Cafe,-37.80746124,144.95724895,Melbourne (CBD),133-159 Victoria Street MELBOURNE 3000
Tribel Cafe,-37.80746124,144.95724895,Melbourne (CBD),Peel Street MELBOURNE 3000
Cafe Victoria,-37.80746124,144.95724895,Melbourne (CBD),507-523 Elizabeth Street MELBOURNE 3000
Cafe Y,-37.80750483,144.959642609,Melbourne (CBD),489-499 Elizabeth Street MELBOURNE 3000
Toothpicks Cafe,-37.79941126,144.964660761,Carlton,714-736 Swanston Street CARLTON 3053
University Cafe,-37.79947888,144.966847658,Carlton,255-257 Lygon Street CARLTON 3053
Lygon Street Cafe,-37.79905522,144.966919825,Carlton,275 Lygon Street CARLTON 3053
Cafe Trilussa,-37.79777584,144.967135254,Carlton,323 Lygon Street CARLTON 3053
Brendons Cafe,-37.79758105,144.969304461,Carlton,161-169 Elgin Street CARLTON 3053
The Connoisseurs Cafe Bar,-37.79803233,144.96818832,Carlton,368-386 Lygon Street CARLTON 3053
Cafe Italia,-37.79918351,144.967877288,Carlton,195-199 Faraday Street CARLTON 3053
Cafe Trevi,-37.80004641,144.967357903,Carlton,294-296 Lygon Street CARLTON 3053
